url,tipo,prioridad,intencion,keyword_primaria,keyword_secundaria,cta_principal,canonical_objetivo,estado
/casos-de-uso/onboarding-operarios/,caso_uso,P1,consideracion,onboarding operarios planta,incorporacion estandarizada,Ver caso,https://gmvsolutions.es/casos-de-uso/onboarding-operarios/,implementado_estructura
/casos-de-uso/personal-ett/,caso_uso,P1,consideracion,onboarding personal ETT industrial,productividad temprana ETT,Ver caso,https://gmvsolutions.es/casos-de-uso/personal-ett/,implementado_estructura
/casos-de-uso/transferencia-conocimiento/,caso_uso,P1,consideracion,transferencia de conocimiento industrial,captura de conocimiento critico,Ver caso,https://gmvsolutions.es/casos-de-uso/transferencia-conocimiento/,implementado_estructura
/sectores/alimentacion/,sector,P1,consideracion,software SOP industria alimentaria,trazabilidad alimentacion,Evaluar mi situacion,https://gmvsolutions.es/sectores/alimentacion/,implementado_estructura
/sectores/mecanizado-cnc/,sector,P1,consideracion,software operaciones mecanizado CNC,continuidad operativa CNC,Evaluar mi situacion,https://gmvsolutions.es/sectores/mecanizado-cnc/,implementado_estructura
/blog/,blog,P2,informacional,blog documentacion operativa industrial,recursos onboarding y SOP,Ver recursos,https://gmvsolutions.es/blog/,implementado_estructura
/blog/coste-absentismo-pymes-industriales/,blog,P2,informacional,coste absentismo pyme industrial,impacto economico absentismo,Descargar plantilla,https://gmvsolutions.es/blog/coste-absentismo-pymes-industriales/,implementado_estructura
/blog/crisis-perdida-conocimiento-planta-industrial/,blog,P2,informacional,perdida de conocimiento en planta,plan 90 dias continuidad,Evaluar mi situacion,https://gmvsolutions.es/blog/crisis-perdida-conocimiento-planta-industrial/,implementado_estructura
/blog/documentar-conocimiento-operarios-expertos/,blog,P2,informacional,documentar conocimiento operarios expertos,metodo captura en 4 fases,Ver metodologia,https://gmvsolutions.es/blog/documentar-conocimiento-operarios-expertos/,implementado_estructura
/blog/gestion-competencias-industria/,blog,P2,informacional,gestion de competencias industria,matriz accionable competencias,Descargar plantilla,https://gmvsolutions.es/blog/gestion-competencias-industria/,implementado_estructura
/blog/onboarding-software-pymes/,blog,P2,informacional,onboarding software pymes,guia de compra y ROI,Ver guia completa,https://gmvsolutions.es/blog/onboarding-software-pymes/,implementado_estructura
/blog/onboarding-vs-tradicional/,blog,P2,informacional,onboarding software vs tradicional,decision por escenario,Ver comparativa,https://gmvsolutions.es/blog/onboarding-vs-tradicional/,implementado_estructura
/blog/que-es-un-sop-industrial/,blog,P2,informacional,que es un SOP industrial,plantilla SOP industrial,Descargar plantilla,https://gmvsolutions.es/blog/que-es-un-sop-industrial/,implementado_estructura
/recursos/,recurso_hub,P2,informacional,recursos documentacion operativa industrial,recursos para pymes industriales,Ver recursos,https://gmvsolutions.es/recursos/,implementado_estructura
/recursos/gestion-competencias-industria/,recurso_resumen,P2,soporte,gestion de competencias industria resumen,hub de recursos competencias,Ver guia completa,https://gmvsolutions.es/blog/gestion-competencias-industria/,implementado_estructura
/recursos/onboarding-software-pymes/,recurso_resumen,P2,soporte,onboarding software pymes resumen,hub de recursos onboarding,Ver guia completa,https://gmvsolutions.es/blog/onboarding-software-pymes/,implementado_estructura
/recursos/onboarding-vs-tradicional/,recurso_resumen,P2,soporte,onboarding vs tradicional resumen,resumen comparativo onboarding,Ver comparativa completa,https://gmvsolutions.es/blog/onboarding-vs-tradicional/,implementado_estructura
/video-demo/,core,P1,conversion,demo software operaciones industriales,demo guiada REELEVO,Solicitar demo,https://gmvsolutions.es/video-demo/,implementado_estructura
/faqs/,core,P1,consideracion,FAQ software operaciones industriales,preguntas frecuentes REELEVO,Resolver dudas,https://gmvsolutions.es/faqs/,implementado_estructura
/sobre-nosotros/,core,P1,autoridad,REELEVO pyme industrial espanola,metodo y credibilidad,Conocer equipo,https://gmvsolutions.es/sobre-nosotros/,implementado_estructura
/por-que-usar-reelevo/,core,P1,consideracion,por que usar REELEVO,diferencias frente alternativas,Evaluar mi situacion,https://gmvsolutions.es/por-que-usar-reelevo/,implementado_estructura
/onboarding-software-pymes/,core,P1,conversion,onboarding software pymes industriales,onboarding operarios pyme,Registrarme,https://gmvsolutions.es/onboarding-software-pymes/,implementado_estructura
/legal/aviso-legal/,legal,P2,legal,aviso legal REELEVO,aviso legal gmvsolutions,No aplica,https://gmvsolutions.es/legal/aviso-legal/,implementado_estructura
/legal/cookies/,legal,P2,legal,politica de cookies REELEVO,gestion consentimiento cookies,No aplica,https://gmvsolutions.es/legal/cookies/,implementado_estructura
/legal/privacidad/,legal,P2,legal,politica de privacidad REELEVO,tratamiento de datos REELEVO,No aplica,https://gmvsolutions.es/legal/privacidad/,implementado_estructura
